Algorithm,Cost,Improvement,Time Limit,No Improvement Limit
Random Search,76.91538919286434,0,3,1000
Simple Local Search,78.8561700940582,-2.523267348134166,3,1000
2-opt Local Search,50.83019887888237,33.914136803720375,3,1000
Local Search with No Improvement Limit,72.1791159847613,6.157770581160162,3,1000
Local Search with 2-opt and No Improvement Limit,50.83019887888237,33.914136803720375,3,1000
Random Search,73.32889426762463,0,3,1000
Simple Local Search,70.8162738870777,3.426507934753189,3,1000
2-opt Local Search,50.48751188821616,31.14922515542846,3,1000
Local Search with No Improvement Limit,58.79283189921389,19.82310317589031,3,1000
Local Search with 2-opt and No Improvement Limit,50.48751188821616,31.14922515542846,3,1000
Random Search,81.89864364107063,0,3,2000
Simple Local Search,70.52027172066434,13.893236095915334,3,2000
2-opt Local Search,53.275528064049894,34.94943787160204,3,2000
Local Search with No Improvement Limit,69.61759091010191,14.995428721373848,3,2000
Local Search with 2-opt and No Improvement Limit,53.275528064049894,34.94943787160204,3,2000
Random Search,74.29294908005483,0,3,2000
Simple Local Search,70.8162738870777,4.679683921593707,3,2000
2-opt Local Search,56.45725925670924,24.007244353870817,3,2000
Local Search with No Improvement Limit,61.1637242978168,17.672235312789304,3,2000
Local Search with 2-opt and No Improvement Limit,56.45725925670924,24.007244353870817,3,2000
Random Search,72.97441972037971,0,3,2000
Simple Local Search,59.29638174474301,18.743606359663605,3,2000
2-opt Local Search,50.48751188821616,30.81478128682343,3,2000
Local Search with No Improvement Limit,71.29918753126864,2.2956430424937326,3,2000
Local Search with 2-opt and No Improvement Limit,50.48751188821616,30.81478128682343,3,2000
Random Search,72.50019399624522,0,3,2000
Simple Local Search,61.20165393742211,15.584151484350867,3,2000
2-opt Local Search,58.74394985557045,18.974079078170746,3,2000
Local Search with No Improvement Limit,69.51239943312166,4.121084921894547,3,2000
Local Search with 2-opt and No Improvement Limit,58.74394985557045,18.974079078170746,3,2000
Random Search,77.36763423642986,0,3,2000
Simple Local Search,68.04093295307997,12.055042622665919,3,2000
2-opt Local Search,62.626780337098694,19.05299812358769,3,2000
Local Search with No Improvement Limit,76.90618022563996,0.5964432224717349,3,2000
Local Search with 2-opt and No Improvement Limit,62.626780337098694,19.05299812358769,3,2000
Random Search,73.8935041520938,0,3,2000
Simple Local Search,68.04093295307997,7.920278333217993,3,2000
2-opt Local Search,50.83019887888237,31.211546316359012,3,2000
Local Search with No Improvement Limit,69.51239943312166,5.928944322297373,3,2000
Local Search with 2-opt and No Improvement Limit,50.83019887888237,31.211546316359012,3,2000
Random Search,78.23464486597337,0,3,2000
Simple Local Search,53.41277441777646,31.72746612542328,3,2000
2-opt Local Search,50.48751188821616,35.466554523628034,3,2000
Local Search with No Improvement Limit,58.66083627505253,25.01936146633431,3,2000
Local Search with 2-opt and No Improvement Limit,50.48751188821616,35.466554523628034,3,2000
Random Search,78.73522908599814,0,3,2000
Simple Local Search,72.63945813278502,7.742113694182619,3,2000
2-opt Local Search,55.76990797226263,29.16778344373871,3,2000
Local Search with No Improvement Limit,58.79283189921389,25.328429749029212,3,2000
Local Search with 2-opt and No Improvement Limit,55.76990797226263,29.16778344373871,3,2000
Random Search,82.01024484083187,0,3,2000
Simple Local Search,61.20165393742211,25.37316032136686,3,2000
2-opt Local Search,58.235782091975345,28.989625375462264,3,2000
Local Search with No Improvement Limit,72.1791159847613,11.987683825540515,3,2000
Local Search with 2-opt and No Improvement Limit,58.235782091975345,28.989625375462264,3,2000
Random Search,78.71376921252032,0,3,2000
Simple Local Search,71.24580638312062,9.48749234614448,3,2000
2-opt Local Search,50.48751188821616,35.85936438654807,3,2000
Local Search with No Improvement Limit,71.90457442941687,8.650576450886525,3,2000
Local Search with 2-opt and No Improvement Limit,50.48751188821616,35.85936438654807,3,2000
Random Search,81.0012206794553,0,3,2000
Simple Local Search,70.52027172066434,12.939248163020945,3,2000
2-opt Local Search,50.48751188821616,37.67067771977227,3,2000
Local Search with No Improvement Limit,58.66083627505253,27.580305848488358,3,2000
Local Search with 2-opt and No Improvement Limit,50.48751188821616,37.67067771977227,3,2000
Random Search,79.08545464434508,0,3,2000
Simple Local Search,61.20165393742211,22.613261550241,3,2000
2-opt Local Search,62.50169750926052,20.96941493181435,3,2000
Local Search with No Improvement Limit,72.1791159847613,8.732754576226757,3,2000
Local Search with 2-opt and No Improvement Limit,62.50169750926052,20.96941493181435,3,2000
Random Search,77.01450758004144,0,3,2000
Simple Local Search,60.570237252760414,21.35217226467421,3,2000
2-opt Local Search,50.48751188821616,34.44415412804617,3,2000
Local Search with No Improvement Limit,76.27866306885116,0.9554622035666642,3,2000
Local Search with 2-opt and No Improvement Limit,50.48751188821616,34.44415412804617,3,2000
Random Search,79.35313333249161,0,3,2000
Simple Local Search,78.8561700940582,0.6262679462840122,3,2000
2-opt Local Search,50.83019887888237,35.944307749131255,3,2000
Local Search with No Improvement Limit,71.29918753126864,10.14949941230012,3,2000
Local Search with 2-opt and No Improvement Limit,50.83019887888237,35.944307749131255,3,2000
Random Search,76.36836111224473,0,3,2000
Simple Local Search,70.8162738870777,7.2701405978932545,3,2000
2-opt Local Search,58.03666559815344,24.004306557198102,3,2000
Local Search with No Improvement Limit,53.75546140844267,29.610298524759564,3,2000
Local Search with 2-opt and No Improvement Limit,58.03666559815344,24.004306557198102,3,2000
Random Search,76.3497224411982,0,3,2000
Simple Local Search,71.12597487964032,6.841868437152492,3,2000
2-opt Local Search,61.4408136256165,19.527129030578994,3,2000
Local Search with No Improvement Limit,68.04093295307997,10.8825405285754,3,2000
Local Search with 2-opt and No Improvement Limit,61.4408136256165,19.527129030578994,3,2000
Random Search,82.07968847299207,0,3,2000
Simple Local Search,59.29638174474301,27.757545322245956,3,2000
2-opt Local Search,50.83019887888237,38.07213474548237,3,2000
Local Search with No Improvement Limit,63.893367727703534,22.156907614571004,3,2000
Local Search with 2-opt and No Improvement Limit,50.83019887888237,38.07213474548237,3,2000
Random Search,77.21733285183387,0,3,2000
Simple Local Search,60.44699742278016,21.718356241639377,3,2000
2-opt Local Search,61.77065107660473,20.004163838277787,3,2000
Local Search with No Improvement Limit,58.66083627505253,24.031517136687317,3,2000
Local Search with 2-opt and No Improvement Limit,61.77065107660473,20.004163838277787,3,2000
Random Search,76.63003333571244,0,3,2000
Simple Local Search,60.570237252760414,20.957574183212007,3,2000
2-opt Local Search,57.61872636739139,24.80921140283659,3,2000
Local Search with No Improvement Limit,53.41277441777646,30.2978583034439,3,2000
Local Search with 2-opt and No Improvement Limit,57.61872636739139,24.80921140283659,3,2000
Random Search,74.65393856563828,0,3,2000
Simple Local Search,53.41277441777646,28.452837929221737,3,2000
2-opt Local Search,50.48751188821616,32.3712682033168,3,2000
Local Search with No Improvement Limit,58.79283189921389,21.24617531395048,3,2000
Local Search with 2-opt and No Improvement Limit,50.48751188821616,32.3712682033168,3,2000
Random Search,75.23862626091363,0,3,2000
Simple Local Search,71.12597487964032,5.4661436361309885,3,2000
2-opt Local Search,53.75546140844267,28.553372011300848,3,2000
Local Search with No Improvement Limit,53.75546140844267,28.553372011300848,3,2000
Local Search with 2-opt and No Improvement Limit,53.75546140844267,28.553372011300848,3,2000
Random Search,71.33495846539053,0,3,2000
Simple Local Search,59.29638174474301,16.87612494579114,3,2000
2-opt Local Search,50.48751188821616,29.224726593608224,3,2000
Local Search with No Improvement Limit,69.51239943312166,2.55493109055796,3,2000
Local Search with 2-opt and No Improvement Limit,50.48751188821616,29.224726593608224,3,2000
Random Search,76.68605754645688,0,3,2000
Simple Local Search,72.63945813278502,5.276838506426546,3,2000
2-opt Local Search,53.75546140844267,29.901910297217604,3,2000
Local Search with No Improvement Limit,70.40645838216125,8.188710393009071,3,2000
Local Search with 2-opt and No Improvement Limit,53.75546140844267,29.901910297217604,3,2000
Random Search,79.81257687217271,0,3,2000
Simple Local Search,71.12597487964032,10.883750823438255,3,2000
2-opt Local Search,50.48751188821616,36.74241094974715,3,2000
Local Search with No Improvement Limit,76.90618022563996,3.641527138244917,3,2000
Local Search with 2-opt and No Improvement Limit,50.48751188821616,36.74241094974715,3,2000
Random Search,67.72742364382559,0,3,2000
Simple Local Search,71.12597487964032,-5.0179839317194626,3,2000
2-opt Local Search,55.73557374549223,17.70604764385807,3,2000
Local Search with No Improvement Limit,71.90457442941687,-6.167591443546802,3,2000
Local Search with 2-opt and No Improvement Limit,55.73557374549223,17.70604764385807,3,2000
Random Search,74.64257394985499,0,3,2000
Simple Local Search,70.8162738870777,5.126163073298903,3,2000
2-opt Local Search,50.48751188821616,32.360971471678134,3,2000
Local Search with No Improvement Limit,76.27866306885116,-2.191898044801208,3,2000
Local Search with 2-opt and No Improvement Limit,50.48751188821616,32.360971471678134,3,2000
Random Search,76.64680233544512,0,3,2000
Simple Local Search,78.8561700940582,-2.8825308966495102,3,2000
2-opt Local Search,50.48751188821616,34.12965661991049,3,2000
Local Search with No Improvement Limit,68.04093295307997,11.227956183614172,3,2000
Local Search with 2-opt and No Improvement Limit,50.48751188821616,34.12965661991049,3,2000
Random Search,79.44815999224087,0,3,2000
