Algorithm,Cost,Improvement
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[72.59357826148643, 60.570237252760414, 50.48751188821616, 69.51239943312166, 50.48751188821616]","[0, 16.562540787584844, 30.451820812087384, 4.2444234079028025, 30.451820812087384]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[74.1538665121317, 60.570237252760414, 58.907465964576836, 70.40645838216125, 58.907465964576836]","[0, 18.31816720864984, 20.56049301901274, 5.053557294085764, 20.56049301901274]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[66.94645628233033, 70.52027172066434, 50.48751188821616, 72.1791159847613, 50.48751188821616]","[0, -5.3383190639132785, 24.58523618442564, -7.816186237496277, 24.58523618442564]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[73.20172869859154, 60.570237252760414, 53.275528064049894, 76.27866306885116, 53.275528064049894]","[0, 17.255728341937594, 27.22094271378189, -4.20336298740828, 27.22094271378189]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[72.76287579865304, 71.90457442941687, 62.87506080146307, 72.1791159847613, 62.87506080146307]","[0, 1.1795869250842086, 13.589093186134088, 0.802276995630445, 13.589093186134088]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[69.37226380176163, 60.570237252760414, 60.02201106233229, 72.07216583277739, 60.02201106233229]","[0, 12.688106264131605, 13.478373382982934, -3.8919041747448238, 13.478373382982934]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[68.94918077629883, 53.41277441777646, 50.48751188821616, 53.41277441777646, 50.48751188821616]","[0, 22.53312683863386, 26.775762496700818, 22.53312683863386, 26.775762496700818]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[72.31601055977931, 68.04093295307997, 62.842861897781916, 72.1791159847613, 62.842861897781916]","[0, 5.911661295482264, 13.099656063253814, 0.1893005075340215, 13.099656063253814]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[65.04602543815507, 78.8561700940582, 50.83019887888237, 53.41277441777646, 50.83019887888237]","[0, -21.23134282667838, 21.85502721113825, 17.884645436852026, 21.85502721113825]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[72.11684352794998, 68.04093295307997, 62.190623016035204, 76.27866306885116, 62.190623016035204]","[0, 5.651814992832191, 13.764080659004051, -5.770939682472654, 13.764080659004051]"
